Country,Concept,Unit,Data Source,Status,Scale,2008,2009,2010,2011,2012,2013
Chad,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
Chile,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.25,0.5,3.12,5.25,5,4.5
Chile,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.1075,1.94689177489177,1.40047619047619,4.66555158730159,5.00583333333333,4.92666666666667
Chile,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,13.261771366415,7.25063476884463,4.75482680518703,9.03015252269429,10.0572624433615,9.26187678192101
Chile,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.48919739919882,2.04760668499783,1.75118738241494,5.28683831409122,5.78821768941152,5.16886815476422
"China, P.R.: Hong Kong","Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.5,0.5,0.5,0.5,0.5,0.5
"China, P.R.: Hong Kong","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.23,0.13,0.13,0.13,0.06,0.06
"China, P.R.: Hong Kong","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5,5,5,5,5,5
"China, P.R.: Hong Kong","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.448333333333333,0.0108333333333333,0.01,0.01,0.01,0.01
"China, P.R.: Macao","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,0.3,0.1088,0.2528,0.3833,0.30625,0.23872
"China, P.R.: Macao","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.42666666666667,5.25,5.25,5.25,5.25,5.25
"China, P.R.: Macao","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.0990184945999,0.0285460509504367,0.0175646048257513,0.0526984334519327,0.0628071923917909,0.0445908630339257
"China, P.R.: Mainland","Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.79,2.79,3.25,3.25,3.25,3.25
"China, P.R.: Mainland","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.31,5.31,5.81,6.56,6,6
"China, P.R.: Mainland","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.25,2.25,2.75,3.5,3,3
Colombia,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.5,5.5,5,6.75,6.5,5.25
Colombia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.72452383333333,5.6478595,3.14704916666666,4.0326095,5.00551841666667,3.40590916666667
Colombia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,17.1756231436697,13.0080746033842,9.38148993683401,11.2199184470583,12.5850402049247,10.9855861710036
Colombia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.74108003212746,6.14578342299999,3.66186032985171,4.26388459690465,5.35583383898964,4.17001756470844
Comoros,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.357425,2.214875,1.93011666666667,2.36939166666667,1.730775,1.59093333333333
Comoros,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.5,10.5,10.5,10.5,10.5,10.5
Comoros,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.5,1.875,1.75,1.75,1.75,1.75
"Congo, Democratic Republic of","Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,42.5,72.5,24.5,22.5,5.25,3
"Congo, Democratic Republic of","Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,23.5,66.5,15.5,11.5,1.5,1.375
"Congo, Democratic Republic of","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,43.1541666666667,65.4175,56.5183333333333,43.75340275,28.4466666666667,19.3660119047619
"Congo, Democratic Republic of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.7975,16.075,16.7733333333333,13.3566666666667,7.71916666666667,4.709
"Congo, Republic of","Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
"Congo, Republic of","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
Costa Rica,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,15.8275,19.7233333333333,17.0908333333333,16.1458333333333,18.2125,15.1883333333334
Costa Rica,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.15,6.95916666666667,5.32333333333333,4.00916666666667,4.73861111111111,3.8775
Cote d'Ivoire,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.5,3.5,3.5,3.5,3.5,3.5
Croatia,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9,9,9,7,7,7
Croatia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.0775,7.52916666666667,1.01024320078485,1.03583333333333,1.25416666666667,0.508485865303477
Croatia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.0691666666667,11.5541666666667,10.3766666666667,9.68416666666667,9.48083333333333,9.24666666666667
Croatia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.82,3.20333333333333,1.7575,1.6975,1.88166666666667,1.52083333333333
Czech Republic,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.035,2.125,1.3025,1.18916666666667,0.975,0.451666666666667
Czech Republic,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.25170833333333,5.98995833333333,5.88783333333333,5.71783333333333,5.40672323724727,4.96989301373891
Czech Republic,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.61203333333333,1.26501666666667,1.08158333333333,1.03825,1.02430263320933,0.861548172781148
Denmark,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.88083333333333,1.80916666666667,0.701866666666667,0.887733333333333,0.0800866666666667,-0.0231016666666667
Djibouti,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.5558333333333,11.0933333333333,10.3043421052631,10.60666667,,
Djibouti,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.16416666666667,1.37333333333333,0.95640625,1.506666667,2.5,
Dominica,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.5,6.5,6.5,6.5,6.5,6.5
Dominica,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.92166666666667,6.03223333333333,6.32685,5.68368333333333,5.03760416666667,6.28401666666667
Dominica,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.06404638816547,10.0192940627616,9.45501398850831,8.84037965492994,9.04298186920945,9.07396001934442
Dominica,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.20207573739202,3.20323383892459,3.26046502123527,3.20236000980138,3.09811538483005,3.0504127481322
Dominican Republic,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.2391666666667,8.08,6.25416666666667,8.28833333333333,8.07416666666667,6.06916666666667
