"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bolivia","BOL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938287057275631","1.06871782939729","1.18280704260807","1.2310686792507","1.30126463850008","1.42033571787544","1.55638835078196","1.61750609579504","1.71297687893948","1.72958585493225","1.77902174099763","1.77169924745083","1.79410547304898","1.87029645183376","1.96543895995105","2.01749274956615","2.22476440058962","2.32704707740771","2.51940593329053","2.43966125894237","2.62206346868869","2.94613074289785","3.09572176512871","3.23275770239075",
"Brazil","BRA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.19179549549197E-05","5.93135198145255E-05","0.000619451535291818","0.012714260554292","0.292769334540688","0.554995913089622","0.638163317347508","0.675395184043689","0.696449486844302","0.744846363306181","0.773290990192095","0.823752433059063","0.896923564648195","1.00005460126836","1.05159450471407","1.09240815527398","1.12502236498927","1.16020906837753","1.2328288231985","1.3113163692002","1.40224476344765","1.47107485414936","1.51706674202898","1.60839896918128",
"Barbados","BRB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.85995173914682","1.83921762198051","1.82909841787091","1.86598804196223","1.8475098493052","1.87492369537329","1.92796047711101","1.88311219298445","2.0175487461437","2.0316682772477","1.99985301362188","2.00162413960302","1.99355080916197","1.97873760953333","2.03716396518991","2.10446815122522","2.1412089311076","2.14630284600078","2.11113465429693","2.21007166588415","2.10273452983665","2.01679631525566","1.91661009108359","",
"Brunei Darussalam","BRN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.497455401752814","0.467782137194607","0.465250464462767","0.4410232015166","0.393986435855305","0.397023772628345","0.407404536224504","0.434938006511743","0.380150224312069","0.418251615145045","0.527621622062232","0.486960664931029","0.481385705269055","0.500765206503753","0.564834172072405","0.649985168241739","0.693960627689591","0.683594313915245","0.755600572944836","0.584181346043711","0.607836347671003","0.717447716592986","0.704777588902031","0.672375989761377",
"Bhutan","BTN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.45353330397388","6.79318025211463","7.25918541727586","7.67090423623114","8.47632503972915","8.97134285473221","9.52021257128631","10.5287070711505","11.5103756438428","12.1920897010565","12.1937586981962","12.5484194009291","12.9617582097584","13.0998524016815","13.2336926282225","13.573556095189","13.8813182297272","13.9430859393247","14.4490393267278","15.0342818394648","15.7435891693296","16.8557571922375","18.3305011321208","19.0892655821572",
"Botswana","BWA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.976589459693593","0.994089683560084","1.03645451407365","1.1446244956708","1.22683283503292","1.28775389631625","1.46842071339237","1.51996984133205","1.64896325908682","1.85717391664558","2.07324495760705","2.19529322252768","2.18774157079759","2.2147820072107","2.37295692445213","2.65493946903883","2.77861500917418","2.82956329630421","3.01776793161989","3.09740298150132","3.63942534607767","3.76402105981858","3.75833592369704","3.92095238738069",
"Sub-Saharan Africa (IFC classification)","CAA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266.639778482329","257.050231139227","258.312454135964","243.646573898544","296.808393893221","319.521358170929","302.672397242019","300.030943665166","295.582425538076","303.324205256945","321.814545727725","315.946408995066","303.784590759663","301.812982179902","280.717712303429","286.128133091555","279.123435504941","265.598082800082","273.920137416526","262.702677301579","255.864945568181","255.861753417491","258.270940477975","272.642822540333",
"Canada","CAN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.250890397","1.246396899","1.234673162","1.223339805","1.211598462","1.213652535","1.211160278","1.20512646","1.187096018","1.19081","1.230622855","1.216527197","1.229333499","1.225893995","1.231222386","1.213644034","1.205739548","1.212027875","1.234390033","1.202667702","1.223271831","1.239903666","1.249076963","1.237230511",
"East Asia and the Pacific (IFC classification)","CEA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
